"Provider ID","Provider Name","Provider Type","Provider Primary Inspection Category","Provider Street Address","Provider Address Line 2","Provider City","Provider Post Code","Provider Local Authority","Provider Region","Service / Population Group","Key Question","Latest Rating","Publication Date","Report Type","URL","Brand ID","Brand Name"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Specialist community mental health services for children and young people","Overall","Requires improvement",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for older people with mental health problems","Safe","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for older people with mental health problems","Effective","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for older people with mental health problems","Caring","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for older people with mental health problems","Responsive","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for older people with mental health problems","Well-led","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for older people with mental health problems","Overall","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for people with learning disabilities or autism","Safe","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for people with learning disabilities or autism","Effective","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for people with learning disabilities or autism","Caring","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for people with learning disabilities or autism","Responsive","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for people with learning disabilities or autism","Well-led","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT1","Cambridgeshire and Peterborough NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Elizabeth House, Cambridge Road","Fulbourn","Cambridge","CB21 5EF","Cambridgeshire","East of England","Wards for people with learning disabilities or autism","Overall","Good",2015-10-13,"CoreService","http://www.cqc.org.uk/provider/RT1","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Acute wards for adults of working age and psychiatric intensive care units","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Acute wards for adults of working age and psychiatric intensive care units","Effective","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Acute wards for adults of working age and psychiatric intensive care units","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Acute wards for adults of working age and psychiatric intensive care units","Responsive","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Acute wards for adults of working age and psychiatric intensive care units","Well-led","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Acute wards for adults of working age and psychiatric intensive care units","Overall","Requires improvement",2017-08-30,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Child and adolescent mental health wards","Safe","Outstanding",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Child and adolescent mental health wards","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Child and adolescent mental health wards","Caring","Outstanding",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Child and adolescent mental health wards","Responsive","Outstanding",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Child and adolescent mental health wards","Well-led","Outstanding",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Child and adolescent mental health wards","Overall","Outstanding",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health inpatient services","Safe","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health inpatient services","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health inpatient services","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health inpatient services","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health inpatient services","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health inpatient services","Overall","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for adults","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for adults","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for adults","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for adults","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for adults","Well-led","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for adults","Overall","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for children, young people and families","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for children, young people and families","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for children, young people and families","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for children, young people and families","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for children, young people and families","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community health services for children, young people and families","Overall","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community mental health services for people with learning disabilities or autism","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community mental health services for people with learning disabilities or autism","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community mental health services for people with learning disabilities or autism","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community mental health services for people with learning disabilities or autism","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community mental health services for people with learning disabilities or autism","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community mental health services for people with learning disabilities or autism","Overall","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for adults of working age","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for adults of working age","Effective","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for adults of working age","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for adults of working age","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for adults of working age","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for adults of working age","Overall","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for older people","Safe","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for older people","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for older people","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for older people","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for older people","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Community-based mental health services for older people","Overall","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","End of life care","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","End of life care","Effective","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","End of life care","Responsive","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","End of life care","Well-led","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","End of life care","Overall","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Forensic inpatient/secure wards","Safe","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Forensic inpatient/secure wards","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Forensic inpatient/secure wards","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Forensic inpatient/secure wards","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Forensic inpatient/secure wards","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Forensic inpatient/secure wards","Overall","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Long stay/rehabilitation mental health wards for working age adults","Safe","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Long stay/rehabilitation mental health wards for working age adults","Effective","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Long stay/rehabilitation mental health wards for working age adults","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Long stay/rehabilitation mental health wards for working age adults","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Long stay/rehabilitation mental health wards for working age adults","Well-led","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Long stay/rehabilitation mental health wards for working age adults","Overall","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Mental health crisis services and health-based places of safety","Safe","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Mental health crisis services and health-based places of safety","Effective","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Mental health crisis services and health-based places of safety","Caring","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Mental health crisis services and health-based places of safety","Responsive","Good",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Mental health crisis services and health-based places of safety","Well-led","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Mental health crisis services and health-based places of safety","Overall","Requires improvement",2016-12-09,"CoreService","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Overall","Safe","Requires improvement",2016-12-09,"Provider","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Overall","Effective","Requires improvement",2016-12-09,"Provider","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Overall","Caring","Good",2016-12-09,"Provider","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Overall","Responsive","Good",2016-12-09,"Provider","http://www.cqc.org.uk/provider/RT2","-","-"
"RT2","Pennine Care NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Trust Headquarters","225 Old Street","Ashton Under Lyne","OL6 7SR","Tameside","North West","Overall","Well-led","Requires improvement",2016-12-09,"Provider","http://www.cqc.org.uk/provider/RT2","-","-"
